platform,job_id,source_url,capture_date,job_title,employer,location_raw,primary_city,primary_country,region_group,multi_location,evidence_level,screen_decision,matched_terms,african_language,other_language,market_named,notes
Meta,1093700889305786,https://www.metacareers.com/profile/job_details/1093700889305786,2025-12-09,"Lead Counsel, EMEA Disputes",Meta,"Berlin, Germany",Berlin,Germany,Other,yes,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1100664205345898,https://www.metacareers.com/profile/job_details/1100664205345898,2025-12-14,"Director, Security GRC Program Lead",Meta,"Bellevue, United States",Bellevue,United States,Hub,no,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1101988215136876,https://www.metacareers.com/profile/job_details/1101988215136876,2025-12-14,"Project Manager, Problem Integrity Solutions",Meta,"Dublin, Ireland",Dublin,Ireland,Hub,no,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1142428761131655,https://www.metacareers.com/profile/job_details/1142428761131655,2025-12-09,"Content Policy Manager, Regulatory Compliance",Meta,"Dublin, Ireland",Dublin,Ireland,Hub,no,full_text,include,"community standards, integrity",,,,role_class=core_integrity; signal=high
Meta,1151893603763557,https://www.metacareers.com/profile/job_details/1151893603763557,2026-01-20,Quality Measurement Specialist - Agnostic,Meta,"Dublin, Ireland",Dublin,Ireland,Hub,no,full_text,include,"advertiser policies, animal abuse, child exploitation, community standards, integrity, objectionable content, policy enforcement, quality expert review, quality measurement, self-injury",,,,role_class=core_integrity; signal=high
Meta,1177633004192111,https://www.metacareers.com/profile/job_details/1177633004192111,2026-01-22,"Technical Program Manager, Office of the CEO",Meta,"Menlo Park, United States",Menlo Park,United States,Hub,no,full_text,include,"business integrity, integrity",,,,role_class=core_integrity; signal=high
Meta,1180651610717912,https://www.metacareers.com/profile/job_details/1180651610717912,2026-02-07,"Systems Program Manager, Global Operations Systems",Meta,"Austin, United States",Austin,United States,Hub,no,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1185237430435279,https://www.metacareers.com/profile/job_details/1185237430435279,2026-02-07,"Director and Head of Law Enforcement Outreach, APAC",Meta,"Singapore, Singapore",Singapore,Singapore,Hub,no,full_text,include,content moderation,,,,role_class=policy_enforcement; signal=high
Meta,1192877282619883,https://www.metacareers.com/profile/job_details/1192877282619883,2026-02-09,"Project Manager, Cross Problem Integrity Operations",Meta,"Dublin, Ireland",Dublin,Ireland,Hub,no,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1197811639170114,https://www.metacareers.com/profile/job_details/1197811639170114,2025-12-17,"Project Manager, Integrity Operations, Child Safety",Meta,"Washington, United States",Washington,United States,Hub,no,full_text,include,"animal abuse, child exploitation, integrity, objectionable content, self-injury",,,,role_class=core_integrity; signal=high
Meta,1201094445311093,https://www.metacareers.com/profile/job_details/1201094445311093,2026-01-22,Quality Measurement Specialist - India Hindi,Meta,"Dublin, Ireland",Dublin,Ireland,Hub,no,full_text,include,"advertiser policies, animal abuse, child exploitation, community standards, integrity, objectionable content, policy enforcement, quality expert review, quality measurement, self-injury",,,,role_class=core_integrity; signal=high
Meta,1207957990682738,https://www.metacareers.com/profile/job_details/1207957990682738,2026-01-22,Security Engineer,Meta,"Menlo Park, United States",Menlo Park,United States,Hub,no,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1209641820508866,https://www.metacareers.com/profile/job_details/1209641820508866,2025-12-07,WhatsApp Business Integrity Project Manager,Meta,"Austin, United States",Austin,United States,Hub,no,full_text,include,"business integrity, integrity",,,,role_class=core_integrity; signal=high
Meta,1209670593889539,https://www.metacareers.com/profile/job_details/1209670593889539,2026-02-09,"Network Engineer, Deployment and Support",Meta,"New York, United States",New York,United States,Hub,no,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1219733019609899,https://www.metacareers.com/profile/job_details/1219733019609899,2026-02-07,Integrity Science Engineer,Meta,"London, United Kingdom",London,United Kingdom,Other,no,full_text,include,"community standards, integrity, trust & safety",,,,role_class=core_integrity; signal=high
Meta,1226011012919304,https://www.metacareers.com/profile/job_details/1226011012919304,2025-12-07,Executive Engagement Lead (8 months contract),Meta,"London, United Kingdom",London,United Kingdom,Other,no,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1237210131614519,https://www.metacareers.com/profile/job_details/1237210131614519,2026-01-22,Software Engineer - Technical Leadership,Meta,"London, United Kingdom",London,United Kingdom,Other,no,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1260794172321494,https://www.metacareers.com/profile/job_details/1260794172321494,2025-12-17,"Market Specialist, Global Response Operations, Myanmar",Meta,"Singapore, Singapore",Singapore,Singapore,Hub,no,full_text,include,"animal abuse, child exploitation, integrity, objectionable content, self-injury",,,,role_class=core_integrity; signal=high
Meta,1281243473831168,https://www.metacareers.com/profile/job_details/1281243473831168,2026-02-07,Business Controls - Cost Operations Lead,Meta,"Menlo Park, United States",Menlo Park,United States,Hub,no,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1283005913304817,https://www.metacareers.com/profile/job_details/1283005913304817,2025-12-07,"Product Policy Manager, GenAI",Meta,"Austin, United States",Austin,United States,Hub,no,full_text,include,policy enforcement,,,,role_class=policy_enforcement; signal=high
Meta,1296230207698571,https://www.metacareers.com/profile/job_details/1296230207698571,2025-12-14,Technical Program Manager,Meta,"Sunnyvale, United States",Sunnyvale,United States,Hub,no,full_text,include,"business integrity, integrity",,,,role_class=core_integrity; signal=high
Meta,1306420247787314,https://www.metacareers.com/profile/job_details/1306420247787314,2025-12-17,"Director, Software Engineering",Meta,"Zurich, Switzerland",Zurich,Switzerland,Other,no,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1317612129737851,https://www.metacareers.com/profile/job_details/1317612129737851,2025-12-11,Optical Metrology Engineer,Meta,"Shanghai, China",Shanghai,China,Other,yes,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1333538881633798,https://www.metacareers.com/profile/job_details/1333538881633798,2025-12-16,"Market Specialist, Global Response Operations - SEO South Asia",Meta,"Dublin, Ireland",Dublin,Ireland,Hub,no,full_text,include,"animal abuse, child exploitation, integrity, objectionable content, self-injury, trust and safety",,,,role_class=core_integrity; signal=high
Meta,1350760066681603,https://www.metacareers.com/profile/job_details/1350760066681603,2025-12-13,"Security Engineer, Investigations",Meta,"Washington, United States",Washington,United States,Hub,no,full_text,include,"animal abuse, child exploitation, integrity, objectionable content, self-injury",,,,role_class=core_integrity; signal=high
Meta,1361024425436743,https://www.metacareers.com/profile/job_details/1361024425436743,2025-12-17,"Program Manager Lead, Performance Marketing",Meta,"Los Angeles, United States",Los Angeles,United States,Hub,no,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1369644077983063,https://www.metacareers.com/profile/job_details/1369644077983063,2025-12-07,Compensation Business Systems Analyst (24 Months Contract),Meta,"Austin, United States",Austin,United States,Hub,no,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1375187143985210,https://www.metacareers.com/profile/job_details/1375187143985210,2026-01-22,"Research Scientist, AI/ML (PhD)",Meta,"Zurich, Switzerland",Zurich,Switzerland,Other,yes,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1408079617348028,https://www.metacareers.com/profile/job_details/1408079617348028,2025-12-11,"Product Risk Program Manager, Assurance Assessments",Meta,"Menlo Park, United States",Menlo Park,United States,Hub,no,full_text,include,"integrity, trust & safety",,,,role_class=core_integrity; signal=high
Meta,1411149183895559,https://www.metacareers.com/profile/job_details/1411149183895559,2026-02-09,"Security Engineering Manager, Enterprise Security",Meta,"New York, United States",New York,United States,Hub,no,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1412484150345243,https://www.metacareers.com/profile/job_details/1412484150345243,2026-02-10,"Public Policy Manager, Integrity Regulation",Meta,"Singapore, Singapore",Singapore,Singapore,Hub,no,full_text,include,"harmful content, integrity",,,,role_class=core_integrity; signal=high
Meta,1421494379546943,https://www.metacareers.com/profile/job_details/1421494379546943,2025-12-13,Compensation Programs Analyst (24 Months Contract),Meta,"Austin, United States",Austin,United States,Hub,no,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1426860505666696,https://www.metacareers.com/profile/job_details/1426860505666696,2025-12-17,"Development and Adoption System Manager, Global Operations",Meta,"Sunnyvale, United States",Sunnyvale,United States,Hub,no,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Meta,1428675664902785,https://www.metacareers.com/profile/job_details/1428675664902785,2025-12-14,"Law Enforcement Response Team Associate, APAC",Meta,"Singapore, Singapore",Singapore,Singapore,Hub,no,full_text,include,"child exploitation, self-injury",,,,role_class=policy_enforcement; signal=high
Meta,1463513088441792,https://www.metacareers.com/profile/job_details/1463513088441792,2026-02-07,"Project Manager, WhatsApp Integrity Operations",Meta,"Dublin, Ireland",Dublin,Ireland,Hub,no,full_text,include,"integrity, trust & safety",,,,role_class=core_integrity; signal=high
Meta,1479988936553287,https://www.metacareers.com/profile/job_details/1479988936553287,2025-12-17,Critical Response Manager,Meta,"Singapore, Singapore",Singapore,Singapore,Hub,no,full_text,include,"animal abuse, child exploitation, integrity, objectionable content, self-injury, trust and safety",,,,role_class=core_integrity; signal=high
Meta,1481375066403130,https://www.metacareers.com/profile/job_details/1481375066403130,2025-12-07,"Policy Programs Manager, Safety & Integrity, Asia Pacific",Meta,"Singapore, Singapore",Singapore,Singapore,Hub,no,full_text,include,"integrity, trust and safety",,,,role_class=core_integrity; signal=high
Meta,1484379442671158,https://www.metacareers.com/profile/job_details/1484379442671158,2025-12-07,"Market Specialist, Global Response Operations, Cambodia",Meta,"Singapore, Singapore",Singapore,Singapore,Hub,no,full_text,include,"animal abuse, child exploitation, integrity, objectionable content, self-injury",,,,role_class=core_integrity; signal=high
Meta,1499416524706534,https://www.metacareers.com/profile/job_details/1499416524706534,2025-12-17,Software Engineer (Fullstack),Meta,"Bellevue, United States",Bellevue,United States,Hub,no,full_text,include,integrity,,,,role_class=core_integrity; signal=high
Google/YouTube,87341142799983302,https://www.google.com/about/careers/applications/jobs/results/87341142799983302-manager-trust-and-safety/,2023-08-01,"Manager, Trust and Safety",Google,"Sunnyvale, CA, USA; New York, NY, USA","Sunnyvale, CA, USA",United States,Hub,yes,detail_only,include,trust-and-safety,,,,page_status=detail
Google/YouTube,76895652010697414,https://www.google.com/about/careers/applications/jobs/results/76895652010697414-rapid-response-director-youtube-trust-and-safety/,2023-08-01,"Rapid Response Director, YouTube Trust and Safety",YouTube,"San Bruno, CA, USA","San Bruno, CA, USA",United States,Hub,no,detail_only,include,trust-and-safety,,,,page_status=detail
Google/YouTube,117003032836612806,https://www.google.com/about/careers/applications/jobs/results/117003032836612806-policy-lead-youtube-trust-and-safety,2023-08-02,"Policy Lead, YouTube Trust and Safety",YouTube,"San Bruno, CA, USA","San Bruno, CA, USA",United States,Hub,no,detail_only,include,trust-and-safety,,,,page_status=detail
Google/YouTube,96915574677742278,https://www.google.com/about/careers/applications/jobs/results/96915574677742278-market-responsibility-specialist-trust-and-safety-youtube?category=BUSINESS_STRATEGY&q=Strategy%20and%20Operations,2023-08-28,"Market Responsibility Specialist, Trust and Safety, YouTube",YouTube,Singapore,Singapore,Singapore,Hub,no,detail_only,include,trust-and-safety,,,,page_status=detail
Google/YouTube,131622969844605638,https://www.google.com/about/careers/applications/jobs/results/131622969844605638-scaled-abuse-analyst-youtube-trust-and-safety?target_level=EARLY&degree=BACHELORS&employment_type=FULL_TIME&sort_by=relevance&location=United%20States&skills=analyst,2023-09-01,"Scaled Abuse Analyst, YouTube Trust and Safety",Google,"San Bruno, CA, USA","San Bruno, CA, USA",United States,Hub,no,detail_only,include,trust-and-safety,,,,page_status=detail
Google/YouTube,131049825987633862,https://www.google.com/about/careers/applications/jobs/results/131049825987633862-scaled-abuse-analyst-trust-and-safety-youtube,2023-12-22,"Scaled Abuse Analyst, Trust and Safety, YouTube",YouTube,"Hyderabad, Telangana, India","Hyderabad, Telangana, India",India,Other,no,detail_only,include,trust-and-safety,,,,page_status=detail
Google/YouTube,87141952635445958,https://www.google.com/about/careers/applications/jobs/results/87141952635445958-technical-threat-intelligence-analyst-industrial-control-systems,2024-02-19,"Technical Threat Intelligence Analyst, Industrial Control Systems",Google,"Virginia, USA; United States","Virginia, USA",United States,Hub,yes,detail_only,include,threat-intelligence,,,,page_status=detail
Google/YouTube,118757883559977670,https://www.google.com/about/careers/applications/jobs/results/118757883559977670-content-adversarial-red-team-analyst-trust-and-safety,2024-04-07,"Content Adversarial Red Team Analyst, Trust and Safety",Google,"Seattle, WA, USA; Atlanta, GA, USA ; +4 more","Seattle, WA, USA",United States,Hub,yes,detail_only,include,trust-and-safety,,,,page_status=detail
Google/YouTube,97337964008219334,https://www.google.com/about/careers/applications/jobs/results/97337964008219334-scaled-abuse-lead-trust-and-safety-youtube,2024-04-08,"Scaled Abuse Lead, Trust and Safety, YouTube",YouTube,"Hyderabad, Telangana, India","Hyderabad, Telangana, India",India,Other,no,detail_only,include,trust-and-safety,,,,page_status=detail
Google/YouTube,142217331683009222,https://www.google.com/about/careers/applications/jobs/results/142217331683009222-cyber-threat-intelligence-consultant-mandiant,2024-04-27,"Cyber Threat Intelligence Consultant, Mandiant",Google,Dubai - United Arab Emirates; United Arab Emirates,Dubai - United Arab Emirates,United Arab Emirates,Other,yes,detail_only,include,threat-intelligence,,,,page_status=detail
Google/YouTube,89944344506573510,https://www.google.com/about/careers/applications/jobs/results/89944344506573510-scaled-abuse-analyst-youtube-partner-program,2024-04-29,"Scaled Abuse Analyst, YouTube Partner Program",YouTube,"Hyderabad, Telangana, India","Hyderabad, Telangana, India",India,Other,no,detail_only,include,scaled-abuse,,,,page_status=detail
Google/YouTube,83625566615282374,https://www.google.com/about/careers/applications/jobs/results/83625566615282374-scaled-abuse-analyst-manager,2024-05-15,Scaled Abuse Analyst Manager,Google,"Hyderabad, Telangana, India","Hyderabad, Telangana, India",India,Other,no,detail_only,include,scaled-abuse,,,,page_status=detail
